string_ch06_Fifi_6001,“이번엔 글로벌 메뉴 차례야. 피자랑 파스타… 젊은 손님들이 친구랑 몰려올 거야.”,"""Now it's time for the global menu. Pizza and pasta... Young customers will flock here with their friends.""",“这次轮到全球化菜单了。披萨和意面……年轻顾客们会和朋友们蜂拥而至的。”,「這次輪到全球菜單了。披薩和義大利麵…年輕客人們會和朋友們成群結隊來光顧的。」,「今度はグローバルメニューの番だ。ピザとパスタ…若いお客さんが友達と一緒に押し寄せるだろう」,"""Jetzt ist Zeit für das globale Angebot. Pizza und Pasta...Junge Leute werden mit ihren Freunden herbeiströmen.""",,,,,,,,,,,,,
string_ch06_meow_6001,“응. 토핑 하나에도 정성을 담아야 제대로 된 맛이 나지. 느긋하지만 꼼꼼하게 준비해 보자.”,"""Yeah. Even the toppings need to be carefully prepared to achieve a truly delicious taste. Let's take our time and prepare them carefully.”",“嗯。连配料都要用心准备才能做出正宗味道。虽然要从容不迫，但准备工作得细致入微。”,「嗯。連配料都要用心準備才能做出正宗風味。我們從容但仔細地準備吧。」,「うん。トッピング一つにも心を込めないと、ちゃんとした味は出ない。ゆったりだけど、丁寧に準備しよう」,"""Ja, auch die Beläge müssen sorgfältig vorbereitet werden, um einen wirklich guten Geschmack zu erzielen. Lass uns sie in Ruhe vorbereiten.""",,,,,,,,,,,,,
string_ch06_Fifi_6002,"“느긋하게라니, 손님들이 반죽보다 먼저 부풀어 오르겠네.”","“If you take too long, the guests will rise before the dough does.”",“悠闲？客人怕是要比面团先发酵起来了。”,「從容？客人們恐怕會比麵團先發酵起來呢。」,「ゆったりだって？お客さんが生地より先に膨れ上がるぞ」,"""Wenn es zu lange dauert, stehen die Gäste auf bevor der Teig aufgeht.""",,,,,,,,,,,,,
string_ch06_meow_6002,“하하... 그래도 제대로 굽는 게 중요하지.”,“Haha... But it’s important to cook it properly.”,“哈哈…不过烤得正宗才重要嘛。”,「哈哈…不過烤得正宗才是重點。」,「はは…でもちゃんと焼くのが大事だろ」,"""Haha... aber trotzdem ist es wichtig, es ordentlich zu machen.""",,,,,,,,,,,,,
string_ch06_Kiki_6001,“이것도 좋고~ 저것도 좋은데… 피자 토핑은 뭘 고르지? 벌써 고민돼!”,"“This is good, that’s good too… but what pizza toppings should I choose? I’m already having a hard time deciding!”",“这个也好~那个也棒…披萨配料该选什么呢？已经纠结起来了！”,「這個也好～那個也不錯…披薩配料該選什麼呢？現在就開始煩惱了！」,「これもいいし～あれも良いし…ピザのトッピングは何にしよう？もう迷っちゃう！」,"""Das ist gut, das ist auch gut... aber welche Pizzabeläge soll ich auswählen? Ich kann mich jetzt schon nicht entscheiden!""",,,,,,,,,,,,,
string_ch06_Leo_6001,"“배고프다! 피자랑 파스타, 뭐든 빨리 만들어줘!”","“I’m hungry! Make me pizza, pasta, or something quick!”",“饿死了！披萨意面都行，快点给我做！”,「餓死了！披薩義大利麵都行，快點做好！」,「お腹空いた！ピザもパスタも、何でもいいから早く作ってよ！」,"""Ich habe Hunger! Mach mir Pizza, Pasta oder irgendwas, schnell!""",,,,,,,,,,,,,
string_ch06_Lulu_6001,“안녕~! 오늘도 왔어! 냥스타에 올리려고 제일 먼저 달려왔지!”,“Hello~! I’m here again today! I ran here first to upload it to Nyangstar!”,“喵喵~！今天也来啦！为了第一时间发到猫星网，我可是冲过来的呢！”,「喵～喵！今天也來了！為了上貓星網才衝第一名來呢！」,「やあ～！今日も来たよ！ニャンスタに載せるために一番に駆けつけたんだ！」,"""Halloo! Ich bin heute wieder hier! Ich bin als erstes hierhergerannt, um es auf Catstargram hochzuladen!""",,,,,,,,,,,,,
string_ch06_momo_6001,“나 바쁘니까 빨리 줘! 피자 식으면 맛없단 말이야!”,"“I’m busy, so hurry up and give it to me! Pizza won’t taste good if it gets cold!”",“我忙着呢快点给！披萨凉了就不好吃了！”,「我忙著呢快點給！披薩冷掉就不好吃了！」,「俺忙しいから早くくれ！ピザ冷めたらまずいんだぜ！」,"""Ich habs eilig, also beeil dich und gib mir die Pizza! Sie schmeckt nicht, wenn sie kalt ist!""",,,,,,,,,,,,,
string_ch06_Fifi_6003,"""하하, 확실히 분위기가 다르네. 피자집 쪽은 젊은 손님들이 특히 활발하잖아?""","""Haha, the atmosphere is definitely different. The pizza place is especially lively with younger customers, right?""",“哈哈，气氛确实不一样呢。披萨店那边年轻客人特别活跃不是吗？”,「哈哈，氣氛確實不同呢。披薩店這邊年輕客人特別熱鬧吧？」,「はは、確かに雰囲気が違うね。ピザ屋の方は若いお客さんが特に活発じゃない？」,"""Haha, die Stimmung ist wirklich anders. In der Pizzeria sind vor allem die jungen Gäste sehr lebhaft.""",,,,,,,,,,,,,
string_ch06_meow_6003,“응. 반죽이 부풀어 오르듯이… 거리에 활기가 점점 차오르고 있어.”,“Yeah. Like dough rising… the streets are becoming more and more lively.”,“嗯。就像面团发酵膨胀般……街道上正逐渐涌动起蓬勃生机。”,「嗯。就像麵團膨脹般…街道的活力正逐漸湧現。」,「うん。生地が膨らむように…街に活気が次第に満ちてきている」,"""Ja. Wie aufgehender Teig werden die Straßen immer belebter.""",,,,,,,,,,,,,
string_ch06_Fifi_6004,“그런데 왠지 네 말투도 반죽처럼 늘어지는 것 같은데?”,"“But somehow, your speech also seems to be stretched out like dough.”",“不过，你的说话方式也像面团一样软绵绵的，对吧？”,「不過你說話的語氣也像麵團般鬆垮垮的？」,「でも、なんだか君の話し方も生地みたいに伸びるみたいだけど？」,"""Aber irgendwie scheinen deine Worte auch ausgedehnt wie Teig.""",,,,,,,,,,,,,
string_ch06_meow_6004,"“하하, 기분 탓이야 기분 탓”","“Haha, it’s my imagination, it’s my imagination.”",“哈哈，是心情问题。”,「哈哈，是錯覺錯覺」,「はは、気のせいだよ。」,"""Haha, das ist nur Einbildung, reine Einbildung.""",,,,,,,,,,,,,
string_ch06_Fifi_6005,"“완성! 이제 이 거리는 세계 각국의 맛으로 가득 차고 있어. 손님들 표정 좀 봐, 다 즐겁지?”","""Complete! Now this street is filled with flavors from around the world. Look at the customers' faces. Aren't they all having fun?""",“完成！现在这条街已经充满世界各地的风味了。看看客人们的表情，都很开心吧？”,「完成！如今這條街已充滿世界各國風味。看看客人們的臉龐，個個都樂在其中吧？」,「完成！今やこの通りは世界各国の味でいっぱいだ。お客さんの表情を見てよ、みんな楽しそうじゃない？」,"""Fertig! Jetzt ist die Straße mit Geschmäckern aus aller Welt gefüllt. Guck dir die Gesichter der Kunden an. Haben sie nicht alle Spaß?""",,,,,,,,,,,,,
string_ch06_meow_6005,“…그래. 사실 이건 내 꿈만이 아니야. 할아버지도 예전에 말했어. 이 거리를 누구나 즐길 수 있는 곳으로 만들고 싶다고.”,"“Haha, but as long as you cook well, it’ll be fine.”",“…是啊。其实这不只是我的梦想。爷爷以前也说过，想把这条街打造成人人都能享受的地方。”,「…是啊。其實這不只是我的夢想。爺爺以前也說過，想把這條街打造成人人都能享受的場所。」,「…そうだな。実はこれは僕の夢だけじゃないんだ。おじいさんも昔言ってた。この通りを誰もが楽しめる場所にしたいって。」,"""…Stimmt. Eigentlich ist das nicht nur mein Traum. Mein Großvater hat früher auch gesagt, dass er diesen Ort zu einem Platz machen wollte, den jeder genießen kann.""",,,,,,,,,,,,,
string_ch06_Fifi_6006,"“…네가 지금 하고 있는 건, 그 꿈을 이어가는 거구나.”","""Done! Now this street is filled with flavors from around the world. Look at the customers' faces. Aren't they all having fun?""",“…你现在做的事，就是在延续那个梦想啊。”,「…你現在所做的，正是延續那個夢想呢。」,「…君が今やっていることは、その夢を受け継いでいるんだな」,"""…Was du gerade tust, ist, diesen Traum weiterzuführen.""",,,,,,,,,,,,,
string_ch06_meow_6006,"“응. 아직 부족하지만, 조금씩… 그때의 웃음을 다시 만들고 싶어.”","""Yeah. It's still not enough, but little by little... I want to recreate that smile from back then.""",“嗯。虽然还不够完美，但我想一点点…重现当年的笑容。”,「嗯。雖然還不夠完美，但我想一點一點…重現當年的歡笑。」,「うん。まだ足りないけど、少しずつ…あの頃の笑顔をまた作りたいんだ」,"""Ja. Es ist noch nicht genug, aber Schritt für Schritt...möchte ich das Lächeln von früher wieder zurückbringen.""",,,,,,,,,,,,,
string_ch06_Fifi_6007,“피자집도 자리 잡았어. 이 정도 활기면… 밤에도 머물 수 있는 공간이 필요하겠는데?”,"""A pizza place has also opened. With this much activity... I guess we need a place to spend time at night.""",“披萨店也站稳脚跟了。有这么热闹的话…晚上也需要能停留的空间吧？”,「披薩店也站穩腳跟了。這般熱鬧的氛圍…恐怕需要能留宿的空間吧？」,「ピザ屋も定着した。この活気なら…夜も過ごせる場所が必要かな？」,"""Eine Pizzeria hat auch eröffnet. Mit so viel Trubel... brauchen wir wohl auch einen Ort, an dem abends Zeit verbracht werden kann.""",,,,,,,,,,,,,
string_ch06_meow_6007,"“조명과 음악이 있는, 가벼운 무알코올 칵테일 바… 같은 곳?”",“A place like a non-alcoholic cocktail bar with gentle lighting and music?”,“有灯光和音乐的，提供轻盈无酒精鸡尾酒的酒吧……类似的地方？”,「像是點綴燈光與音樂、供應輕盈無酒精調酒的酒吧之類？」,「照明と音楽のある、軽いノンアルコールカクテルバー…みたいな場所？」,"""Ein Ort wie eine alkoholfreie Cocktailbar mit gedimmtem Licht und Musik?""",,,,,,,,,,,,,
string_ch06_Fifi_6008,"“응 맞아, 손님들이 언제든지 즐길 수 있게, 야간 테마로 분위기를 바꿔보자.”","“Yeah, that’s right. Let’s change the atmosphere to a night theme so that guests can enjoy it at any time.”",“嗯没错，让客人随时都能享受，试试用夜间主题来转换氛围吧。”,「嗯，沒錯。讓客人隨時都能享受，試著以夜間主題轉換氛圍吧。」,「うん、そう。お客さんがいつでも楽しめるように、夜のテーマで雰囲気を変えてみよう。」,"""Ja, genau! Damit die Gäste diesen Ort jederzeit genießen können, lass uns die Atmosphäre auf ein Nacht-Thema umstellen.""",,,,,,,,,,,,,
string_ch06_meow_6008,“오.... 낮과 밤이 이어지는 거리… 멋지겠네.”,“Oh... a street where day and night continue... that would be nice.”,“哦……昼夜相连的街道……真不错呢。”,「哦…晝夜相連的街道…真令人嚮往。」,「おぉ…昼と夜がつながる街…素敵だね。」,"""Ohh.. eine Straße, in der Tag und Nacht weitergehen... das wäre schön.""",,,,,,,,,,,,,
string_ch07_Fifi_6001,"“이번엔 밤의 차례야. 조명, 음악, 바 카운터… ‘머무는 밤’을 만들자.”","""Now it's nighttime. Lighting, music, bar counter... let's make it a 'night to stay.'""",“这次轮到夜晚了。灯光、音乐、吧台……打造一个‘驻足的夜晚’吧。”,「這次輪到夜晚登場。燈光、音樂、吧檯…打造『駐足之夜』吧。」,「今度は夜の番だ。照明、音楽、バーカウンター…『留まる夜』を作ろう。」,"""Jetzt ist Abend, Licht, Musik, Barthresen... lass uns eine 'Nacht zum Bleiben' schaffen.""",,,,,,,,,,,,,
string_ch07_meow_6001,"“응. 눈부시지 않게 은은한 조명, 그리고 부드러운 플레이리스트. 느긋하지만 꼼꼼하게.”","""Yeah. Soft, non-dazzling lighting, and a gentle playlist. Relaxed, yet meticulous.""",“嗯。不刺眼的柔光，搭配轻柔的歌单。从容而不失细致。”,「嗯。不刺眼的柔光，搭配舒緩的播放清單。從容卻不失細膩。」,「うん。眩しくないほのかな照明、そして優しいプレイリスト。ゆったりだけど丁寧に。」,"""Ja. Dezente Beleuchtung, die nicht blendet, und eine ruhige Playlist. Entspannt, aber mit viel Liebe zum Detail.""",,,,,,,,,,,,,
string_ch07_Fifi_6002,“역시 너답네. 손님들이 ‘사진 찍고 싶다’고 느낄 만한 포인트도 잊지 말자.”,"""That's just like you. Don't forget to include points that will make guests want to take pictures.""",“果然有你的风格。别忘了设置让客人忍不住想拍照的亮点。”,「果然是你的風格。別忘了設置讓客人想拍照留念的亮點。」,「さすが君らしいね。お客さんが『写真撮りたくなる』と感じるポイントも忘れずに。」,"""Das passt zu dir. Vergiss nicht Details einzubauen, die Gäste dazu bringen, Fotos zu machen.""",,,,,,,,,,,,,
string_ch07_meow_6002,"“잔의 라인, 과일 가니쉬 각도… 작은 디테일이 기억을 남기니까.”","“The shape of the glass, the angle of the fruit garnish… the small details leave a lasting impression.”",“杯沿的线条、水果装饰的角度……正是这些小细节能留下记忆。”,「杯緣線條、水果裝飾角度…細微之處最能留存記憶。」,「グラスのライン、フルーツガーニッシュの角度…小さなディテールが記憶に残るから。」,"""Die Form des Glases, die Ausrichtung der Obstgarnitur... diese kleinen Details hinterlassen einen bleibenden Eindruck.""",,,,,,,,,,,,,
string_ch07_Toto_6001,“와~ 야간 감성 제대로네! 냥스타에 올리면 좋아요 팡팡이야!”,"“Wow~ The nighttime feeling is perfect! If you upload it to Catstargram, it’ll be great!”",“哇~夜间氛围感爆棚！发到猫星人平台准能点赞爆棚！”,「哇～夜間氛圍感爆棚！發到喵星網肯定讚聲連連！」,「わあ～夜の雰囲気、完璧だね！ニャンスタに上げたらいいね！パンパン！」,"""Wow! Die Stimmung des Nachtlebens ist perfekt! Wenn du das bei Catstargram hochlädst, wird es super!""",,,,,,,,,,,,,
string_ch07_Kiki_6001,“이 색도 예쁘고… 저것도 예쁜데… 어떤 무알콜이 더 빛나 보일까?”,“This color is pretty… that one's pretty too… which non-alcoholic cocktail will look brighter?”,“这个颜色美…那个也美…哪种无酒精饮品更耀眼呢？”,「這色調真美…那款也很亮眼…哪款無酒精飲品更耀眼呢？」,「この色も綺麗だし…あれも綺麗だけど…どのノンアルコールがより輝いて見えるかな？」,"""Diese Farbe ist schön... die hier ist auch schön... welcher Mocktail sieht wohl strahlender aus?""",,,,,,,,,,,,,
string_ch07_Fifi_6003,"“밤 되니 손님들 텐션이 확 달라졌지? 사진, 수다, 음악—연결 완료.”","""The guests' energy has definitely changed since nightfall. Photos, chatter, music, all connected..""",“入夜后客人情绪瞬间转变了吧？拍照、闲聊、音乐——连接成功。”,「入夜後客人們情緒轉變好明顯？拍照、閒聊、音樂——連結完成。」,「夜になるとお客さんのテンションが急に変わるよね？写真、おしゃべり、音楽—繋がり完了。」,"""Die Energie der Gäste hat sich definitiv verändert seit es Abend geworden ist. Fotos, Gespräche, Musik, alles miteinander verbunden.""",,,,,,,,,,,,,
string_ch07_meow_6003,“응. 조명에 잔 표면이 반짝이는 순간이 좋아.”,“Yeah. I like the moment when the surface of the glass sparkles in the lights.”,“嗯。最爱灯光映照杯面闪烁的瞬间。”,「嗯。最愛燈光映照杯身閃爍的瞬間。」,「うん。照明にグラスの表面がキラキラ光る瞬間が好き。」,"""Ja. Ich mag den Moment, wenn das Glas im Licht schimmert.""",,,,,,,,,,,,,
string_ch07_Fifi_6004,“물방울까지 보는 사장님이라… 믿음이 간다.”,"""A boss who even notices the water droplets… That’s someone you can trust.""",“连水珠都观察的老板…让人信服呢。”,「連水珠都觀察的老闆…令人信服。」,「水滴まで見る店主って…信頼できるわ。」,"""Ein Chef, der selbst Wassertropfen sieht...da kann man Vertrauen haben.""",,,,,,,,,,,,,
string_ch07_meow_6004,"“후후, 작은 디테일이 기억을 만든다고 믿거든.”","“Haha, I believe that small details create memories.”",“呵呵，我坚信细微之处铸就记忆。”,「呵呵，我深信細微之處能鑄就記憶。」,「ふふ、小さなディテールが記憶を作るって信じてるんだ。」,"""Haha, ich glaube daran, dass kleine Details in Erinnerung bleiben.""",,,,,,,,,,,,,
string_ch07_Fifi_6005,"“완성! 낮엔 빵과 커피, 밤엔 음악과 칵테일… 이 거리는 낮과 밤 모두 즐겁다.”","""Done! Bread and coffee during the day, music and cocktails at night… This street is fun both day and night.""",“完成！白日有面包咖啡，夜晚有音乐鸡尾酒…这条街昼夜皆欢愉。”,「完成！白晝是麵包與咖啡，夜晚是音樂與調酒…這條街日夜皆歡愉。」,「完成！昼はパンとコーヒー、夜は音楽とカクテル…この通りは昼も夜も楽しい。」,"""Fertig! Brot und Kaffee am Tag, Musik und Cocktails am Abend...Diese Straße macht tagsüber und abends Spaß.""",,,,,,,,,,,,,
string_ch07_meow_6005," “이제 말할게. 내 진짜 목적은, 할아버지가 꿈꾸던 그 장면—이 거리의 불빛과 음악, 사람들의 웃음을 ‘다시 켜는 것’이야.","""Now I'll tell you. My real goal is to 'rekindle' the scene my grandfather dreamed of—the lights, the music, the laughter of the people on this street.""",“现在告诉你。我真正的目的，是重现爷爷梦想的场景——让这条街的灯火、音乐和欢笑重新点亮。,「現在告訴你。我真正的目的，是重現爺爺夢寐以求的場景——讓這條街的燈火、音樂與人們的笑聲『重新點亮』。,「今言うよ。僕の本当の目的は、おじいちゃんが夢見ていたあの光景——この通りの灯りと音楽、人々の笑いを『再び灯すこと』なんだ。,"""Jetzt kann ich es dir erzählen. Mein wahres Ziel ist es, die Vision, von der mein Großvater geträumt hat, wiederzuerwecken - die Lichter, die Musik, das Lachen der Menschen in dieser Straße.""",,,,,,,,,,,,,
string_ch07_meow_6006,""" 어린 날 매일 보던 그 풍경을 지금 모두에게 보여주고 싶어.”",“I want to show everyone the scenery I saw every day when I was young.”,“想把童年每日看见的那些风景，如今都展现给大家看。”,我想把童年每日見證的風景，呈現在所有人眼前。」,幼い頃毎日見ていたあの風景を、今みんなに見せたいんだ。」,"""Ich möchte allen zeigen, was ich jeden Tag gesehen habe, als ich jung war.""",,,,,,,,,,,,,
string_ch07_Fifi_6006,"“그래서 멈추지 않았구나. 좋아, 끝까지 같이 가자.”","""So you didn't stop. Okay, let's go together until the end.""",“原来你从未停下脚步啊。好，就让我们一路同行到终点吧。”,「原來你從未放棄。好，我們一路同行到底吧。」,「だから諦めなかったんだね。よし、最後まで一緒に行こう。」,"""Also hast du nie aufgehört. Okay, lass es uns zusammen zu Ende bringen.""",,,,,,,,,,,,,
string_ch07_Fifi_6007,"“마지막 한 걸음. 네 목적을 알았으니, 이제 모두가 함께하는 축제를 열자.”","""One last step. Now that we know your purpose, let's celebrate together.""",“最后一步。既然明白了你的心愿，就让我们共同开启这场全民的庆典吧。”,「最後一步。既然明白你的心願，就讓我們共同開啟這場盛宴吧。」,「最後の一歩。君の目的が分かったから、今度は皆で一緒に祭りを開こう。」,"""Ein letzter Schritt. Jetzt wo wir deine Bestimmung kennen, lass uns zusammen feiern.""",,,,,,,,,,,,,
string_ch07_meow_6008,“응. 할아버지의 꿈을 거리 전체에서 완성하자.”,"""Yeah. Let's fulfill Grandpa's dream across the street.""",“嗯。让我们在整条街上完成爷爷的梦想。”,「嗯。讓我們在整條街上完成祖父的夢想。」,「うん。おじいちゃんの夢を街全体で完成させよう。」,"""Ja. Lass uns Großvaters Traum in der ganzen Straße verwirklichen.""",,,,,,,,,,,,,
string_ch08_Fifi_6001,"""드디어 마지막이야. 과일 가게로 신선함과 자연의 색을 더해서 거리를 완성하자.""","""It's finally the end. Let's complete the street by adding freshness and natural colors with a fruit shop.""",“终于到了最后一步。让我们用水果店增添新鲜感与自然色彩，完成整条街道的装点吧。”,「終於來到終點。用水果店增添新鮮感與自然色彩，讓街道臻於完美。」,「ついに最後だ。果物屋で新鮮さと自然の色を加えて街を完成させよう。」,"""Wir sind endlich am Ziel. Vervollständigen wir die Straße, indem wir Frische und natürliche Farbe mit einem Obstladen hinzufügen.""",,,,,,,,,,,,,
string_ch08_meow_6001,"“응. 할아버지가 꿈꾸던 장면—웃음과 빛, 향기와 색이 모두 모이는 거리. 이제 완성할 때야.”","""Yes. The scene my grandfather dreamed of—a street where laughter, light, fragrance, and color all converge. Now it's time to complete it.""",“嗯。爷爷梦想的场景——欢笑与光芒、芬芳与色彩汇聚的街道。现在该完成了。”,「嗯。祖父夢寐以求的場景——歡笑與光影、芬芳與色彩匯聚的街道。此刻正是完成之時。」,「うん。おじいちゃんが夢見た光景——笑いと光、香りと色が全て集まる街。今こそ完成させる時だ。」,"""Ja. Das Bild, von dem mein Großvater geträumt hat - eine Straße, in der sich Lachen, Licht, Duft und Farbe vermischen. Es ist Zeit sie fertigzustellen.""",,,,,,,,,,,,,
string_ch08_Lulu_6001,"“우와, 이 거리 진짜 달라졌다! 활기가 넘치네!”","“Wow, this street has really changed! It’s so vibrant!”",“哇，这条街真的变了！充满活力啊！”,「哇，這條街徹底變了！充滿活力啊！」,「わあ、この通り本当に変わった！活気が溢れてる！」,"""Wow, diese Straße hat sich wirklich verändert! Sie ist so lebendig!""",,,,,,,,,,,,,
string_ch08_Toto_6001,"“이 분위기, 냥스타에 올리면 분명 터질 거야!”","“If I upload this atmosphere to Catstargram, it’ll definitely explode!”",“这种氛围发到猫星上绝对会火爆！”,「這氛圍放上喵星網肯定爆紅！」,「この雰囲気、ニャンスタに上げたら絶対バズるよ！」,"""Wenn ich das auf Catstargram hochlade, wird es sicher explodieren!""",,,,,,,,,,,,,
string_ch08_Bambi_6001,“킁킁… 과일 향기만으로도 벌써 기분이 좋아!”,“Sniff sniff… Just the scent of fruit makes me feel good!”,“嗷嗷…光是水果香就让人心情大好！”,「嗷嗷…光是水果香氣就讓人心情愉悅！」,「クンクン…果物の香りだけでももう気分が良くなる！」,"""Schnüffel schnüffel... Schon der Duft des Obsts gibt mir ein gutes Gefühl!""",,,,,,,,,,,,,
string_ch08_Leo_6001,"“든든한 빵도 좋지만, 시원한 주스랑 샐러드라니… 완벽하다!”","“A hearty bread is good, but a refreshing juice and salad… perfect!”",“扎实的面包固然不错，但冰镇果汁配沙拉…简直完美！”,「飽足的麵包固然好，但冰涼果汁配沙拉…完美！」,「しっかりしたパンも良いけど、冷たいジュースとサラダなんて…完璧だ！」,"""Herzhaftes Brot ist schon gut, aber dazu ein kühler Saft und frischer Salat… das ist einfach perfekt!""",,,,,,,,,,,,,
string_ch08_momo_6001,"“후, 바쁜 길이라도 이 정도면 잠깐 들를 가치 있지.”","“Whew, even if it’s a busy street, it’s worth stopping by for a bit.”",“呼，就算赶路也值得专程来逛逛。”,「呼，就算在繁忙街道，這種程度也值得稍作停留。」,「ふう、忙しい道でもこれならちょっと立ち寄る価値あるね。」,"""Puh, auch wenn es eine überlaufene Straße ist, es ist einen kurzen Stop wert.""",,,,,,,,,,,,,
string_ch08_Kiki_6001,“이건 고민할 필요도 없어. 여기가 최고야!”,“There’s no need to worry about this. This is the best!”,“这根本不用犹豫。这里就是最佳选择！”,「根本不用猶豫。這裡就是最佳選擇！」,「これは迷う必要もない。ここが最高だ！」,"""Kein Grund zur Sorge. Das ist das Beste!""",,,,,,,,,,,,,
string_ch08_Uni_6001,“매일이 좋은 하루야… 네가 만들어 준 덕분에.”,“Every day is a good day… thanks to you.”,“每天都是美好的一天…多亏是你创造的。”,「每天都是美好的一天…多虧你創造了這樣的日子。」,「毎日が良い日だ…君が作ってくれたおかげだ。」,"""Jeder Tag ist ein guter Tag... dank dir.""",,,,,,,,,,,,,
string_ch08_Milo_6001,“흠… 여기까지 될 줄은 몰랐군. 인정할 수밖에 없네.”,“Hmm… I didn’t know it would come to this. I have to admit it.”,“嗯…没想到能发展到这种程度。不得不承认。”,「嗯…沒想到能發展到這種程度。不得不承認。」,「ふむ…ここまでになるとは思わなかった。認めざるを得ないな。」,"""Hmm... Ich  habe nicht gedacht, es würde soweit kommen. Das muss ich zugeben.""",,,,,,,,,,,,,
string_ch05_Ollie_6001,“퍼펙트. 할아버지도 분명 만족하실 겁니다.”,"""Perfect. I'm sure Grandpa would be satisfied.""",“完美。爷爷肯定也会满意的。”,「完美。爺爺肯定也會很滿意。」,「パーフェクト。おじいさんもきっと満足されるでしょう。」,"""Perfekt. Ich bin sicher, Großvater wäre zufrieden.""",,,,,,,,,,,,,
string_ch08_Fifi_6002,“저길 봐! 거리 전체가 다시 살아났어!”,“Look over there! The whole street is alive again!”,“看那边！整条街都重新焕发活力了！”,「 看那邊！整條街都重新活過來了！」,「 あそこを見て！通り全体が再び活気づいたよ！」,"""Guck dir das an! Die ganze Straße ist wieder lebendig!""",,,,,,,,,,,,,
string_ch08_meow_6002,"“응. 처음은 작은 도넛 가게였지만, 지금은 마을 전체가 활기를 되찾았어.…이제 이 거리는, 모든 사람들이 사랑하는 곳이 되었어.”","“Yeah. It started out as a small donut shop, but now the whole street has come back to life… Now this street is a place everyone loves.”",“是啊。最初只是家小小的甜甜圈店，如今整个村庄都重拾生机…这条街，已成为所有人珍爱的所在。”,「嗯。起初只是間小甜甜圈店，如今整個村莊都重拾活力…這條街已成為所有人珍愛的所在。」,「うん。最初は小さなドーナツ屋だったけど、今は町全体が活気を取り戻した…今やこの通りは、みんなが愛する場所になったんだ。」,"""Ja. Alles begann mit einem kleinen Donutladen, aber jetzt ist die ganze Straße wieder zum Leben erwacht... Jetzt ist diese Straße ein Ort, den jeder liebt.""",,,,,,,,,,,,,
string_ch08_Fifi_6003,"“네 소망도, 할아버지의 꿈도 여기서 완성됐어. 이 거리는 이제 모두에게 기억될 거야.”",“Your wish and your grandfather's dream have been fulfilled here. This street will be remembered by everyone from now on.”,“你的愿望，爷爷的梦想，都在这里实现了。这条街将永远被所有人铭记。”,「你的心願，爺爺的夢想，都在此圓滿實現。這條街將被所有人銘記。」,「君の願いも、おじいちゃんの夢もここで叶った。この通りはこれから、みんなに記憶されるだろう。」,"""Dein Wunsch und der Traum deines Großvaters haben sich erfüllt. Alle werden sich von jetzt an an diese Straße erinnern.""",,,,,,,,,,,,,
string_ch08_meow_6004,“응. 하지만 끝이 아니라 시작이야. 더 많은 웃음이 계속 이어지길.”,"""Yeah. But this isn't the end, this is the beginning. I hope there will be more laughter.""",“嗯。但这并非终点，而是起点。愿更多的欢笑持续延续下去。”,「嗯。但這不是終點而是起點。願更多歡笑持續延續下去。」,「うん。でも終わりじゃなくて始まりだよ。これからもたくさんの笑顔が続きますように。」,"""Ja. Aber das ist nicht das Ende, das ist erst der Anfang. Ich hoffe, es wird noch mehr Lachen folgen.""",,,,,,,,,,,,,
mission_dount_01,카운터를 설치하세요,Install the counter,安装计数器,請安裝櫃檯,カウンターを設置する,Installiere den Thresen,,,,,,,,,,,,,
mission_dount_02,도넛 진열장을 놓아봐요,Let's place the donut display case,让我们把甜甜圈展示柜,試著擺放甜甜圈展示櫃,ドーナツの陳列ケースを設置しましょう,Lass uns die Donutvitrine platzieren,,,,,,,,,,,,,
mission_dount_03,서랍을 배치하세요,Place the drawers,放置抽屉,配置抽屜吧,引き出しを置く,Platziere die Schubladen,,,,,,,,,,,,,
mission_dount_04,미니 선반도 설치할까요,Shall we install a mini shelf too?,我们也要安装一个迷你架子吗？,要安裝迷你層架嗎,ミニ棚も設置しましょうか？,Sollen wir auch ein kleines Regal platzieren?,,,,,,,,,,,,,
mission_dount_05,쟁반을 놓아봐요,Let's place the trays,让我们把托盘放好,試著擺放托盤,トレイを置きましょう,Lass uns die Tabletts platzieren,,,,,,,,,,,,,
mission_dount_06,쟁반을 더 놓을까요?,Shall we add more trays?,我们要添加更多托盘吗？,要再多放幾個托盤嗎？,トレイをもっと追加しましょうか？,Sollen wir mehr Tabletts hinzufügen?,,,,,,,,,,,,,
mission_dount_07,도넛 모형도 만들어봐요,Let's make a donut model too,我们也做一个甜甜圈模型,也試著製作甜甜圈模型吧,ドーナツモデルも作ってみよう,Lass uns auch ein Donut-Modell machen,,,,,,,,,,,,,
mission_dount_08,이제 도넛을 준비해요!,Now let's prepare the donuts!,现在让我们准备甜甜圈！,現在準備甜甜圈吧！,さあドーナツを準備しましょう！,Bereiten wir jetzt die Donuts zu!,,,,,,,,,,,,,
mission_dount_09,선반 쟁반도 준비해 봐요,Let's prepare the shelf trays too,我们也准备一下货架托盘,層架托盤也準備好,棚受けも用意しましょう,Bereite auch die Tabletts für das Regal vor.,,,,,,,,,,,,,
mission_dount_10,여분의 도넛까지 준비할까요!,Shall we prepare extra donuts as well?,我们也准备一些甜甜圈好吗？,連備用甜甜圈也準備好嗎！,ドーナツも追加で用意しましょうか？,Lass uns auch Reserve-Donuts zubereiten,,,,,,,,,,,,,
